SEGMENTID,ONSTREETNAME,FROMSTREETNAME,TOSTREETNAME,BOROUGH_CODE,WORK_START_DATE,WORK_END_DATE,PURPOSE
47252,VAN SINDEREN AVENUE,DUMONT AVENUE,LIVONIA AVENUE,B,2018-08-07 01:53:32,2018-09-01 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
43828,AMBOY STREET,LIVONIA AVENUE,RIVERDALE AVENUE,B,2018-06-22 00:00:00,2018-06-24 23:58:59,PLACE EQUIPMENT OTHER THAN CRANE OR SHOV
43828,AMBOY STREET,LIVONIA AVENUE,RIVERDALE AVENUE,B,2018-06-22 00:00:00,2018-06-24 23:58:59,PLACE MATERIAL ON STREET
43828,AMBOY STREET,LIVONIA AVENUE,RIVERDALE AVENUE,B,2018-06-22 00:00:00,2018-06-24 23:58:59,RAPID TRANSIT CONSTRUCT/ ALTERATION-PROT
43829,LIVONIA AVENUE,AMBOY STREET,HOPKINSON AVENUE,B,2018-06-22 00:00:00,2018-06-24 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
167334,EAST   96 STREET,CLARKSON AVENUE,KINGS HIGHWAY,B,2018-11-26 00:00:00,2018-12-03 23:59:59,DOT IN-HOUSE PAVING
167407,EAST   96 STREET,AVENUE A,AVENUE B,B,2018-11-26 00:00:00,2018-12-03 23:59:59,DOT IN-HOUSE PAVING
39689,VOORHIES AVENUE,EAST   28 STREET,EAST   29 STREET,B,2018-07-30 00:00:00,2018-08-03 23:59:59,DOT IN-HOUSE MILLING
6652,ADRIENNE PLACE,CLOVIS ROAD,RAMBLE ROAD,S,2018-06-08 15:39:44,2018-07-07 23:58:59,REMOVAL OF POLES
120585,NARROWS ROAD SOUTH,HYLAN BOULEVARD,HYLAN BOULEVARD,S,2018-08-30 09:17:54,2018-09-28 23:59:59,DOT IN-HOUSE PAVING
39927,VOORHIES AVENUE,BRAGG STREET,COYLE STREET,B,2018-07-30 00:00:00,2018-08-03 23:59:59,DOT IN-HOUSE MILLING
120586,NARROWS ROAD SOUTH,HYLAN BOULEVARD,HYLAN BOULEVARD,S,2018-08-30 09:17:54,2018-09-28 23:59:59,DOT IN-HOUSE PAVING
117585,KNOLLWOOD AVENUE,EAST DRIVE,MARINETTE STREET,Q,2018-10-26 14:53:19,2018-11-29 23:59:59,DOT IN-HOUSE MILLING
117585,KNOLLWOOD AVENUE,EAST DRIVE,MARINETTE STREET,Q,2018-10-26 14:53:20,2018-11-29 23:59:59,DOT IN-HOUSE PAVING
26670,AVENUE J,BAY PARKWAY,EAST    5 STREET,B,2018-08-24 00:00:00,2018-08-30 23:59:59,DOT IN-HOUSE PAVING
26783,AVENUE J,EAST    7 STREET,EAST    8 STREET,B,2018-08-24 00:00:00,2018-08-30 23:59:59,DOT IN-HOUSE PAVING
26884,AVENUE J,EAST    8 STREET,EAST    9 STREET,B,2018-08-24 00:00:00,2018-08-30 23:59:59,DOT IN-HOUSE PAVING
26886,AVENUE J,EAST    9 STREET,EAST   10 STREET,B,2018-08-24 00:00:00,2018-08-30 23:59:59,DOT IN-HOUSE PAVING
81665,FITCHETT STREET,64 ROAD,65 AVENUE,Q,2018-06-12 08:37:54,2018-07-13 23:59:59,DOT IN-HOUSE PAVING
39731,NOSTRAND AVENUE,AVENUE T,AVENUE U,B,2018-07-30 00:00:00,2018-08-06 23:59:59,DOT IN-HOUSE PAVING
39733,NOSTRAND AVENUE,AVENUE U,GRAVESEND NECK ROAD,B,2018-07-30 00:00:00,2018-08-06 23:59:59,DOT IN-HOUSE PAVING
39744,NOSTRAND AVENUE,AVENUE S,AVENUE T,B,2018-07-30 00:00:00,2018-08-06 23:59:59,DOT IN-HOUSE PAVING
3447,SERRELL AVENUE,BEND,MOTT STREET,S,2018-05-10 08:18:22,2018-08-08 23:58:59,CONTRACT ROADWAY MILLING
77865,STORY AVENUE,BRONX RIVER AVENUE,CLOSE AVENUE,X,2018-04-30 00:00:00,2018-05-31 23:58:59,CONTRACT ROADWAY MILLING
77946,STORY AVENUE,CLOSE AVENUE,COLGATE AVENUE,X,2018-04-30 00:00:00,2018-05-31 23:58:59,CONTRACT ROADWAY MILLING
77947,STORY AVENUE,COLGATE AVENUE,EVERGREEN AVENUE,X,2018-04-30 00:00:00,2018-05-31 23:58:59,CONTRACT ROADWAY MILLING
77952,STORY AVENUE,ELDER AVENUE,WHEELER AVENUE,X,2018-04-30 00:00:00,2018-05-31 23:58:59,CONTRACT ROADWAY MILLING
77998,STORY AVENUE,BOYNTON AVENUE,ELDER AVENUE,X,2018-04-30 00:00:00,2018-05-31 23:58:59,CONTRACT ROADWAY MILLING
