SEGMENTID,ONSTREETNAME,FROMSTREETNAME,TOSTREETNAME,BOROUGH_CODE,WORK_START_DATE,WORK_END_DATE,PURPOSE
298270,PARK AVENUE,EAST  178 STREET,EAST TREMONT AVENUE,X,2018-02-02 00:00:00,2018-03-04 23:58:59,PLACE CRANE OR SHOVEL ON STREET
53060,104 STREET,86 AVENUE,JAMAICA AVENUE,Q,2018-05-07 09:22:46,2018-06-08 23:59:59,DOT IN-HOUSE PAVING
53061,86 AVENUE,104 STREET,105 STREET,Q,2018-05-07 09:14:53,2018-06-08 23:59:59,DOT IN-HOUSE MILLING
57570,BAYFIELD AVENUE,BEACH   69 STREET,BEACH   72 STREET,Q,2018-03-14 13:43:32,2018-03-17 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
57570,BAYFIELD AVENUE,BEACH   69 STREET,BEACH   72 STREET,Q,2018-03-14 13:43:32,2018-03-17 23:58:59,PLACE CRANE OR SHOVEL ON STREET
53061,86 AVENUE,104 STREET,105 STREET,Q,2018-05-07 09:14:53,2018-06-08 23:59:59,DOT IN-HOUSE PAVING
57085,88 AVENUE,148 STREET,SUTPHIN BOULEVARD,Q,2018-01-06 00:00:00,2018-01-15 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
57085,88 AVENUE,148 STREET,SUTPHIN BOULEVARD,Q,2018-01-06 00:00:00,2018-01-15 23:58:59,PLACE CRANE OR SHOVEL ON STREET
86811,FRISBY AVENUE,OVERING STREET,ST PETERS AVENUE,X,2018-03-19 00:00:00,2018-05-01 23:58:59,CONTRACT ROADWAY MILLING
53062,105 STREET,85 AVENUE,86 AVENUE,Q,2018-05-07 09:24:06,2018-06-08 23:59:59,DOT IN-HOUSE MILLING
53065,86 AVENUE,105 STREET,106 STREET,Q,2018-05-07 09:14:55,2018-06-08 23:59:59,DOT IN-HOUSE MILLING
53066,105 STREET,86 AVENUE,JAMAICA AVENUE,Q,2018-05-07 09:24:09,2018-06-08 23:59:59,DOT IN-HOUSE MILLING
53068,86 AVENUE,106 STREET,107 STREET,Q,2018-05-07 09:14:58,2018-06-08 23:59:59,DOT IN-HOUSE MILLING
48458,CRESCENT STREET,ADLER PLACE,CAMPUS PLACE,B,2018-02-02 00:00:00,2018-02-26 23:58:59,PLACE CRANE OR SHOVEL ON STREET
168639,CRESCENT STREET,ATLANTIC AVENUE,GLEN STREET,B,2018-04-13 00:00:00,2018-04-18 23:59:59,DOT IN-HOUSE PAVING
286870,WILLIAMSBRIDGE ROAD,ESPLANADE,PELHAM PARKWAY,X,2017-11-30 09:37:17,2018-02-27 23:59:59,DOT IN-HOUSE PAVING
287518,WILLIAMSBRIDGE ROAD,ASTOR AVENUE,PELHAM PARKWAY,X,2017-11-30 09:37:19,2018-02-27 23:59:59,DOT IN-HOUSE PAVING
168569,SHEPHERD AVENUE,LINDEN BOULEVARD,STANLEY AVENUE,B,2018-04-16 00:00:00,2018-04-20 23:59:59,DOT IN-HOUSE PAVING
168570,SHEPHERD AVENUE,LINDEN BOULEVARD,STANLEY AVENUE,B,2018-04-16 00:00:00,2018-04-20 23:59:59,DOT IN-HOUSE PAVING
30436,WYTHE AVENUE,BROADWAY,SOUTH    6 STREET,B,2018-02-05 00:00:00,2018-03-09 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
30436,WYTHE AVENUE,BROADWAY,SOUTH    6 STREET,B,2018-02-05 00:00:00,2018-03-09 23:58:59,PLACE CRANE OR SHOVEL ON STREET
57439,160 STREET,ARCHER AVENUE,JAMAICA AVENUE,Q,2017-12-26 00:00:00,2018-01-27 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
168640,CRESCENT STREET,ATLANTIC AVENUE,GLEN STREET,B,2018-04-13 00:00:00,2018-04-18 23:59:59,DOT IN-HOUSE PAVING
168645,CRESCENT STREET,ATLANTIC AVENUE,FULTON STREET,B,2018-04-13 00:00:00,2018-04-18 23:59:59,DOT IN-HOUSE PAVING
168646,CRESCENT STREET,ATLANTIC AVENUE,FULTON STREET,B,2018-04-13 00:00:00,2018-04-18 23:59:59,DOT IN-HOUSE PAVING
53066,105 STREET,86 AVENUE,JAMAICA AVENUE,Q,2018-05-07 09:24:09,2018-06-08 23:59:59,DOT IN-HOUSE PAVING
54719,103 AVENUE,112 STREET,113 STREET,Q,2018-05-07 10:03:30,2018-06-08 23:59:59,DOT IN-HOUSE PAVING
84373,37 AVENUE,COLLEGE POINT BOULEVARD,PRINCE STREET,Q,2018-01-11 17:49:29,2018-01-26 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
84373,37 AVENUE,COLLEGE POINT BOULEVARD,PRINCE STREET,Q,2018-01-11 17:49:29,2018-01-26 23:58:59,PLACE CRANE OR SHOVEL ON STREET
9000564,WEST   25 STREET,MERMAID AVENUE,SURF AVENUE,B,2018-04-14 00:00:00,2018-04-23 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
9000564,WEST   25 STREET,MERMAID AVENUE,SURF AVENUE,B,2018-04-14 00:00:00,2018-04-23 23:58:59,OCCUPANCY OF SIDEWALK AS STIPULATED
9000564,WEST   25 STREET,MERMAID AVENUE,SURF AVENUE,B,2018-04-14 00:00:00,2018-04-23 23:58:59,PLACE CRANE OR SHOVEL ON STREET
9000568,WEST   25 STREET,MERMAID AVENUE,SURF AVENUE,B,2018-04-14 00:00:00,2018-04-23 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
9000568,WEST   25 STREET,MERMAID AVENUE,SURF AVENUE,B,2018-04-14 00:00:00,2018-04-23 23:58:59,OCCUPANCY OF SIDEWALK AS STIPULATED
9000568,WEST   25 STREET,MERMAID AVENUE,SURF AVENUE,B,2018-04-14 00:00:00,2018-04-23 23:58:59,PLACE CRANE OR SHOVEL ON STREET
9000570,WEST   25 STREET,MERMAID AVENUE,SURF AVENUE,B,2018-04-14 00:00:00,2018-04-23 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
9000570,WEST   25 STREET,MERMAID AVENUE,SURF AVENUE,B,2018-04-14 00:00:00,2018-04-23 23:58:59,OCCUPANCY OF SIDEWALK AS STIPULATED
9000570,WEST   25 STREET,MERMAID AVENUE,SURF AVENUE,B,2018-04-14 00:00:00,2018-04-23 23:58:59,PLACE CRANE OR SHOVEL ON STREET
55867,116 STREET,BESSEMER STREET,MYRTLE AVENUE,Q,2018-05-07 09:36:01,2018-06-08 23:59:59,DOT IN-HOUSE MILLING
44547,WILLOUGHBY AVENUE,BUSHWICK AVENUE,MYRTLE AVENUE,B,2018-03-15 11:53:00,2018-04-01 23:58:59,PLACE CRANE OR SHOVEL ON STREET
229151,AVENUE H,ALBANY AVENUE,EAST   40 STREET,B,2018-11-07 00:00:00,2018-11-09 23:59:59,DOT IN-HOUSE MILLING
36194,EAST   65 STREET,5 AVENUE,MADISON AVENUE,M,2018-05-28 00:00:00,2018-08-01 23:58:59,CONTRACT ROADWAY MILLING
43701,SARATOGA AVENUE,DUMONT AVENUE,LIVONIA AVENUE,B,2018-05-25 10:40:39,2018-06-18 23:58:59,RAPID TRANSIT CONSTRUCT/ ALTERATION-PROT
4598,WEST SERVICE ROAD,WSE SB ENTRANCE VICTORY BLVD,WILD AVENUE,S,2018-03-06 08:55:54,2018-04-05 23:58:59,REPAIR GAS - PROTECTED
47244,JUNIUS STREET,LIVONIA AVENUE,RIVERDALE AVENUE,B,2018-01-01 00:00:00,2018-04-01 23:58:59,RAPID TRANSIT CONSTRUCT/ ALTERATION
53068,86 AVENUE,106 STREET,107 STREET,Q,2018-05-07 09:14:59,2018-06-08 23:59:59,DOT IN-HOUSE PAVING
53070,PARK LANE SOUTH,104 STREET,105 STREET,Q,2018-05-07 09:08:27,2018-06-08 23:59:59,DOT IN-HOUSE MILLING
31974,BEDFORD STREET,CHRISTOPHER STREET,GROVE STREET,M,2018-03-03 00:00:00,2018-03-25 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
87063,FRISBY AVENUE,BENSON STREET,OVERING STREET,X,2018-03-19 00:00:00,2018-05-01 23:58:59,CONTRACT ROADWAY MILLING
53070,PARK LANE SOUTH,104 STREET,105 STREET,Q,2018-05-07 09:08:28,2018-06-08 23:59:59,DOT IN-HOUSE PAVING
53071,105 STREET,85 AVENUE,PARK LANE SOUTH,Q,2018-05-07 09:24:04,2018-06-08 23:59:59,DOT IN-HOUSE MILLING
9001965,TIMPSON PLACE,EAST  147 STREET,EAST  149 STREET,X,2018-01-02 14:38:34,2018-01-26 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
9001968,TIMPSON PLACE,EAST  147 STREET,EAST  149 STREET,X,2018-01-02 14:38:33,2018-01-26 23:58:59,PLACE CRANE OR SHOVEL ON STREET
53077,107 STREET,85 AVENUE,PARK LANE SOUTH,Q,2018-05-07 09:26:46,2018-06-08 23:59:59,DOT IN-HOUSE MILLING
53078,PARK LANE SOUTH,107 STREET,108 STREET,Q,2018-05-07 09:08:35,2018-06-08 23:59:59,DOT IN-HOUSE MILLING
53078,PARK LANE SOUTH,107 STREET,108 STREET,Q,2018-05-07 09:08:36,2018-06-08 23:59:59,DOT IN-HOUSE PAVING
53145,104 STREET,95 AVENUE,97 AVENUE,Q,2018-05-07 10:13:54,2018-06-08 23:59:59,DOT IN-HOUSE MILLING
53145,104 STREET,95 AVENUE,97 AVENUE,Q,2018-05-07 10:13:55,2018-06-08 23:59:59,DOT IN-HOUSE PAVING
53147,104 STREET,94 AVENUE,95 AVENUE,Q,2018-05-07 10:13:51,2018-06-08 23:59:59,DOT IN-HOUSE MILLING
53147,104 STREET,94 AVENUE,95 AVENUE,Q,2018-05-07 10:13:52,2018-06-08 23:59:59,DOT IN-HOUSE PAVING
53148,94 AVENUE,104 STREET,106 STREET,Q,2018-05-07 09:58:42,2018-06-08 23:59:59,DOT IN-HOUSE MILLING
34102,WEST   53 STREET,8 AVENUE,9 AVENUE,M,2018-03-03 00:00:00,2018-03-04 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
18155,ALBANY STREET,DEAD END,SOUTH END AVENUE,M,2018-04-09 00:00:00,2018-04-13 23:59:59,DOT IN-HOUSE PAVING
53148,94 AVENUE,104 STREET,106 STREET,Q,2018-05-07 09:58:43,2018-06-08 23:59:59,DOT IN-HOUSE PAVING
34102,WEST   53 STREET,8 AVENUE,9 AVENUE,M,2018-03-03 00:00:00,2018-03-04 23:58:59,OCCUPANCY OF SIDEWALK AS STIPULATED
34102,WEST   53 STREET,8 AVENUE,9 AVENUE,M,2018-03-03 00:00:00,2018-03-04 23:58:59,PLACE CRANE OR SHOVEL ON STREET
18163,RECTOR PLACE,SOUTH END AVENUE,PEDESTRIAN OVERPASS,M,2018-04-09 00:00:00,2018-04-13 23:59:59,DOT IN-HOUSE PAVING
53153,106 STREET,95 AVENUE,97 AVENUE,Q,2018-05-07 10:12:26,2018-06-08 23:59:59,DOT IN-HOUSE MILLING
53153,106 STREET,95 AVENUE,97 AVENUE,Q,2018-05-07 10:12:27,2018-06-08 23:59:59,DOT IN-HOUSE PAVING
53155,106 STREET,94 AVENUE,95 AVENUE,Q,2018-05-07 10:12:24,2018-06-08 23:59:59,DOT IN-HOUSE MILLING
69198,EAST  126 STREET,3 AVENUE,LEXINGTON AVENUE,M,2018-04-28 00:00:00,2018-05-07 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
69198,EAST  126 STREET,3 AVENUE,LEXINGTON AVENUE,M,2018-04-28 00:00:00,2018-05-07 23:58:59,PLACE CRANE OR SHOVEL ON STREET
53155,106 STREET,94 AVENUE,95 AVENUE,Q,2018-05-07 10:12:25,2018-06-08 23:59:59,DOT IN-HOUSE PAVING
53190,107 STREET,86 AVENUE,JAMAICA AVENUE,Q,2018-05-07 09:26:52,2018-06-08 23:59:59,DOT IN-HOUSE PAVING
53191,86 AVENUE,107 STREET,108 STREET,Q,2018-05-07 09:15:00,2018-06-08 23:59:59,DOT IN-HOUSE MILLING
289953,GOETHALS ROAD NORTH,FARRAGUT AVENUE,SOUTH AVENUE,S,2017-10-23 11:39:09,2018-01-01 23:58:59,CONTRACT ROADWAY MILLING
289954,GOETHALS ROAD NORTH,FARRAGUT AVENUE,SOUTH AVENUE,S,2017-10-23 11:39:09,2018-01-01 23:58:59,CONTRACT ROADWAY MILLING
32583,WEST    4 STREET,BROADWAY,MERCER STREET,M,2017-11-15 00:00:00,2018-01-01 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
32592,WASHINGTON SQUARE EAST,WASHINGTON PLACE,WASHINGTON SQUARE SOUTH,M,2017-11-15 00:00:00,2018-01-01 23:58:59,D.D.C. CONTRACTOR MAJOR RECONSTRUCTION
32594,WASHINGTON SQUARE NORTH,5 AVENUE,UNIVERSITY PLACE,M,2017-11-15 00:00:00,2018-01-01 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
32596,WASHINGTON PLACE,GREENE STREET,WASHINGTON SQUARE EAST,M,2017-11-15 00:00:00,2018-01-01 23:58:59,D.D.C. CONTRACTOR MAJOR RECONSTRUCTION
53191,86 AVENUE,107 STREET,108 STREET,Q,2018-05-07 09:15:01,2018-06-08 23:59:59,DOT IN-HOUSE PAVING
53193,86 AVENUE,108 STREET,109 STREET,Q,2018-05-07 09:15:03,2018-06-08 23:59:59,DOT IN-HOUSE MILLING
9003329,WEST  134 STREET,AMSTERDAM AVENUE,BROADWAY,M,2018-02-03 00:00:00,2018-02-12 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
53195,86 AVENUE,109 STREET,110 STREET,Q,2018-05-07 09:15:05,2018-06-08 23:59:59,DOT IN-HOUSE MILLING
53195,86 AVENUE,109 STREET,110 STREET,Q,2018-05-07 09:15:06,2018-06-08 23:59:59,DOT IN-HOUSE PAVING
32972,EAST   17 STREET,3 AVENUE,IRVING PLACE,M,2018-03-24 00:00:00,2018-03-26 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
184901,FEATHERBED LANE,BEND,DR M L KING JR BOULEVARD,X,2017-10-16 06:53:26,2018-01-10 23:59:59,DOT IN-HOUSE PAVING
184901,FEATHERBED LANE,PLIMPTON AVENUE,UNIVERSITY AVENUE,X,2017-10-16 06:53:27,2018-01-10 23:59:59,DOT IN-HOUSE PAVING
80807,WEBSTER AVENUE,EAST GUN HILL ROAD,WOODLAWN CEMETERY BOUNDARY,X,2017-11-17 08:22:53,2018-02-14 23:59:59,DOT IN-HOUSE PAVING
32972,EAST   17 STREET,3 AVENUE,IRVING PLACE,M,2018-03-24 00:00:00,2018-03-26 23:58:59,PLACE CRANE OR SHOVEL ON STREET
30655,LITTLE NASSAU STREET,KENT AVENUE,TAAFFE PLACE,B,2017-10-31 12:31:29,2018-01-01 23:58:59,CONTRACT ROADWAY MILLING
30838,SKILLMAN STREET,MYRTLE AVENUE,WILLOUGHBY AVENUE,B,2017-10-31 12:33:16,2018-01-01 23:58:59,CONTRACT ROADWAY MILLING
31097,HOPE STREET,BQE EASTBOUND EXIT   32,KEAP STREET,B,2017-11-13 00:00:00,2018-01-01 23:58:59,PLACE EQUIPMENT OTHER THAN CRANE OR SHOV
80189,MARION AVENUE,EAST  194 STREET,EAST  195 STREET,X,2018-01-15 00:00:00,2018-02-11 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
80189,MARION AVENUE,EAST  194 STREET,EAST  195 STREET,X,2018-01-15 00:00:00,2018-02-11 23:58:59,PLACE CRANE OR SHOVEL ON STREET
53197,86 AVENUE,110 STREET,111 STREET,Q,2018-05-07 09:15:08,2018-06-08 23:59:59,DOT IN-HOUSE MILLING
9003329,WEST  134 STREET,AMSTERDAM AVENUE,BROADWAY,M,2018-02-03 00:00:00,2018-02-12 23:58:59,OCCUPANCY OF SIDEWALK AS STIPULATED
9003329,WEST  134 STREET,AMSTERDAM AVENUE,BROADWAY,M,2018-02-03 00:00:00,2018-02-12 23:58:59,PLACE CRANE OR SHOVEL ON STREET
9003330,WEST  134 STREET,AMSTERDAM AVENUE,BROADWAY,M,2018-02-03 00:00:00,2018-02-12 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
9003330,WEST  134 STREET,AMSTERDAM AVENUE,BROADWAY,M,2018-02-03 00:00:00,2018-02-12 23:58:59,OCCUPANCY OF SIDEWALK AS STIPULATED
9003330,WEST  134 STREET,AMSTERDAM AVENUE,BROADWAY,M,2018-02-03 00:00:00,2018-02-12 23:58:59,PLACE CRANE OR SHOVEL ON STREET
53197,86 AVENUE,110 STREET,111 STREET,Q,2018-05-07 09:15:09,2018-06-08 23:59:59,DOT IN-HOUSE PAVING
36027,EAST   60 STREET,5 AVENUE,MADISON AVENUE,M,2018-03-23 08:51:39,2018-04-01 23:58:59,PLACE CRANE OR SHOVEL ON STREET
36027,EAST   60 STREET,5 AVENUE,MADISON AVENUE,M,2018-03-23 08:51:40,2018-04-01 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
36027,EAST   60 STREET,5 AVENUE,MADISON AVENUE,M,2018-03-23 08:51:40,2018-04-01 23:58:59,OCCUPANCY OF SIDEWALK AS STIPULATED
61551,SEAGIRT BOULEVARD,BEACH   29 STREET,BEACH   30 STREET,Q,2018-04-23 00:00:00,2018-05-23 23:59:59,DOT IN-HOUSE MILLING
18154,SOUTH END AVENUE,ALBANY STREET,RECTOR PLACE,M,2018-03-14 10:05:04,2018-06-03 23:58:59,CONTRACT ROADWAY MILLING
37924,PARK AVENUE,EAST  103 STREET,EAST  104 STREET,M,2018-04-07 00:00:00,2018-04-15 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
108488,DOUGLAS ROAD,BEND,SILVER BEECH ROAD,S,2018-02-02 00:00:00,2018-03-04 23:58:59,REPAIR GAS
115226,COOPER SQUARE,EAST    6 STREET,EAST    7 STREET,M,2018-01-20 00:00:00,2018-01-29 23:58:59,PLACE CRANE OR SHOVEL ON STREET
72241,DAVIDSON AVENUE,DEAD END,WEST  177 STREET,X,2017-10-10 15:05:36,2018-01-07 23:59:59,DOT IN-HOUSE PAVING
115229,COOPER SQUARE,EAST    6 STREET,EAST    7 STREET,M,2018-01-20 00:00:00,2018-01-29 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
53198,PARK LANE SOUTH,108 STREET,MEMORIAL DRIVE,Q,2018-05-07 09:08:38,2018-06-08 23:59:59,DOT IN-HOUSE MILLING
50667,CRESCENT STREET,BELMONT AVENUE,PITKIN AVENUE,B,2018-03-28 00:00:00,2018-04-06 23:59:59,DOT IN-HOUSE MILLING
32087,WALKER STREET,BROADWAY,CORTLANDT ALLEY,M,2018-01-05 12:16:20,2018-04-01 23:58:59,PLACE EQUIPMENT OTHER THAN CRANE OR SHOV
119313,TIMPSON PLACE,EAST  147 STREET,EAST  149 STREET,X,2018-01-26 00:00:00,2018-02-26 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
53198,PARK LANE SOUTH,108 STREET,MEMORIAL DRIVE,Q,2018-05-07 09:08:38,2018-06-08 23:59:59,DOT IN-HOUSE PAVING
181679,94 AVENUE,212 STREET,HOLLIS COURT BOULEVARD,Q,2018-04-23 00:00:00,2018-05-23 23:59:59,DOT IN-HOUSE MILLING
61551,SEAGIRT BOULEVARD,BEACH   29 STREET,BEACH   30 STREET,Q,2018-04-23 00:00:00,2018-05-23 23:59:59,DOT IN-HOUSE PAVING
8228,HAROLD STREET,MELBA STREET,MOUNTAINVIEW AVENUE,S,2017-10-19 14:49:00,2018-01-01 23:58:59,D.D.C. CONTRACTOR MAJOR RECONSTRUCTION
82306,63 AVENUE,APEX PLACE,YELLOWSTONE BOULEVARD,Q,2017-10-20 10:05:40,2018-01-01 23:58:59,CONTRACT ROADWAY MILLING
8231,MELBA STREET,HAROLD STREET,QUEEN STREET,S,2017-10-19 14:49:05,2018-01-01 23:58:59,D.D.C. CONTRACTOR MAJOR RECONSTRUCTION
266710,56 STREET,SKILLMAN AVENUE,WOODSIDE AVENUE,Q,2018-02-08 17:32:11,2018-02-12 23:58:59,PLACE CRANE OR SHOVEL ON STREET
266710,56 STREET,SKILLMAN AVENUE,WOODSIDE AVENUE,Q,2018-02-08 17:41:00,2018-02-12 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
266710,56 STREET,SKILLMAN AVENUE,WOODSIDE AVENUE,Q,2018-02-08 17:41:00,2018-02-12 23:58:59,PLACE MATERIAL ON STREET
266710,56 STREET,SKILLMAN AVENUE,WOODSIDE AVENUE,Q,2018-02-08 17:41:00,2018-02-12 23:58:59,RAPID TRANSIT CONSTRUCT/ ALTERATION-PROT
53206,109 STREET,85 AVENUE,86 AVENUE,Q,2018-05-07 09:25:31,2018-06-08 23:59:59,DOT IN-HOUSE PAVING
53328,86 AVENUE,112 STREET,113 STREET,Q,2018-05-07 09:15:14,2018-06-08 23:59:59,DOT IN-HOUSE PAVING
53334,85 AVENUE,112 STREET,113 STREET,Q,2018-05-07 09:44:40,2018-06-08 23:59:59,DOT IN-HOUSE MILLING
53334,85 AVENUE,112 STREET,113 STREET,Q,2018-05-07 09:44:41,2018-06-08 23:59:59,DOT IN-HOUSE PAVING
32513,BOWERY,RIVINGTON STREET,SPRING STREET,M,2017-12-27 08:58:50,2018-03-26 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
32513,BOWERY,RIVINGTON STREET,SPRING STREET,M,2017-12-27 08:58:50,2018-03-26 23:58:59,PLACE MATERIAL ON STREET
47382,HINSDALE STREET,LIVONIA AVENUE,RIVERDALE AVENUE,B,2018-02-02 00:00:00,2018-03-04 23:58:59,PLACE CRANE OR SHOVEL ON STREET
47386,WILLIAMS AVENUE,LIVONIA AVENUE,RIVERDALE AVENUE,B,2018-02-02 00:00:00,2018-03-04 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
47362,VAN SINDEREN AVENUE,NEW LOTS AVENUE,NEWPORT STREET,B,2018-02-01 00:00:00,2018-03-10 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
47386,WILLIAMS AVENUE,LIVONIA AVENUE,RIVERDALE AVENUE,B,2018-02-02 00:00:00,2018-03-04 23:58:59,PLACE CRANE OR SHOVEL ON STREET
53337,113 STREET,85 AVENUE,MYRTLE AVENUE,Q,2018-05-07 09:37:26,2018-06-08 23:59:59,DOT IN-HOUSE MILLING
53337,113 STREET,85 AVENUE,MYRTLE AVENUE,Q,2018-05-07 09:37:27,2018-06-08 23:59:59,DOT IN-HOUSE PAVING
53339,113 STREET,86 AVENUE,MYRTLE AVENUE,Q,2018-05-07 09:29:59,2018-06-08 23:59:59,DOT IN-HOUSE MILLING
50692,CRESCENT STREET,CONDUIT BOULEVARD,GLENMORE AVENUE,B,2018-04-03 00:00:00,2018-04-06 23:59:59,DOT IN-HOUSE MILLING
48889,60 LANE,68 ROAD,CATALPA AVENUE,Q,2018-01-01 00:00:00,2018-03-04 23:58:59,DEP CONTRACTOR MAJOR INSTALLATION SEWER
53341,114 STREET,85 AVENUE,MYRTLE AVENUE,Q,2018-05-07 09:38:48,2018-06-08 23:59:59,DOT IN-HOUSE MILLING
18309,WEST   35 STREET,BOARDWALK,SURF AVENUE,B,2018-04-02 00:00:00,2018-05-27 23:58:59,OCCUPANCY OF SIDEWALK AS STIPULATED
43919,HERKIMER STREET,PLEASANT PLACE,ROCKAWAY AVENUE,B,2018-05-29 00:00:00,2018-05-31 23:59:59,DOT IN-HOUSE PAVING
44047,HERKIMER STREET,MONACO PLACE,PLEASANT PLACE,B,2018-05-29 00:00:00,2018-05-31 23:59:59,DOT IN-HOUSE PAVING
79116,LONGFELLOW AVENUE,CROSS BRONX EXPRESSWAY,RODMAN PLACE,X,2018-02-10 00:00:00,2018-02-19 23:58:59,OCCUPANCY OF SIDEWALK AS STIPULATED
79116,LONGFELLOW AVENUE,CROSS BRONX EXPRESSWAY,RODMAN PLACE,X,2018-02-10 00:00:00,2018-02-19 23:58:59,PLACE CRANE OR SHOVEL ON STREET
181691,91 AVENUE,212 STREET,HOLLIS COURT BOULEVARD,Q,2018-04-23 00:00:00,2018-05-23 23:59:59,DOT IN-HOUSE MILLING
181712,212 PLACE,94 AVENUE,JAMAICA AVENUE,Q,2018-04-23 00:00:00,2018-05-23 23:59:59,DOT IN-HOUSE MILLING
181712,212 PLACE,94 AVENUE,JAMAICA AVENUE,Q,2018-04-23 00:00:00,2018-05-23 23:59:59,DOT IN-HOUSE PAVING
79141,RODMAN PLACE,LONGFELLOW AVENUE,WEST FARMS ROAD,X,2018-02-10 00:00:00,2018-02-19 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
53341,114 STREET,85 AVENUE,MYRTLE AVENUE,Q,2018-05-07 09:38:48,2018-06-08 23:59:59,DOT IN-HOUSE PAVING
53343,86 AVENUE,113 STREET,114 STREET,Q,2018-05-07 09:15:16,2018-06-08 23:59:59,DOT IN-HOUSE MILLING
53343,86 AVENUE,113 STREET,114 STREET,Q,2018-05-07 09:15:16,2018-06-08 23:59:59,DOT IN-HOUSE PAVING
53344,114 STREET,86 AVENUE,MYRTLE AVENUE,Q,2018-05-07 09:31:22,2018-06-08 23:59:59,DOT IN-HOUSE MILLING
53344,114 STREET,86 AVENUE,MYRTLE AVENUE,Q,2018-05-07 09:31:23,2018-06-08 23:59:59,DOT IN-HOUSE PAVING
53347,86 AVENUE,114 STREET,115 STREET,Q,2018-05-07 09:15:18,2018-06-08 23:59:59,DOT IN-HOUSE MILLING
54670,110 STREET,101 AVENUE,103 AVENUE,Q,2018-05-07 10:10:34,2018-06-08 23:59:59,DOT IN-HOUSE PAVING
54675,103 AVENUE,110 STREET,111 STREET,Q,2018-05-07 10:03:25,2018-06-08 23:59:59,DOT IN-HOUSE MILLING
54675,103 AVENUE,110 STREET,111 STREET,Q,2018-05-07 10:03:25,2018-06-08 23:59:59,DOT IN-HOUSE PAVING
54676,111 STREET,101 AVENUE,103 AVENUE,Q,2018-05-07 10:09:03,2018-06-08 23:59:59,DOT IN-HOUSE MILLING
54676,111 STREET,101 AVENUE,103 AVENUE,Q,2018-05-07 10:09:04,2018-06-08 23:59:59,DOT IN-HOUSE PAVING
56923,148 STREET,86 AVENUE,87 AVENUE,Q,2018-01-01 00:00:00,2018-03-11 23:58:59,DEP CONTRACTOR MAJOR INSTALLATION SEWER
18370,WEST   25 STREET,MERMAID AVENUE,SURF AVENUE,B,2018-04-14 00:00:00,2018-04-23 23:58:59,OCCUPANCY OF SIDEWALK AS STIPULATED
18370,WEST   25 STREET,MERMAID AVENUE,SURF AVENUE,B,2018-04-14 00:00:00,2018-04-23 23:58:59,PLACE CRANE OR SHOVEL ON STREET
33824,WEST   38 STREET,8 AVENUE,9 AVENUE,M,2018-03-18 00:00:00,2018-03-25 23:58:59,PLACE CRANE OR SHOVEL ON STREET
167536,ROCKAWAY PARKWAY,KINGS HIGHWAY,LENOX ROAD,B,2018-10-29 00:00:00,2018-11-02 23:59:59,DOT IN-HOUSE PAVING
54678,111 STREET,103 AVENUE,LIBERTY AVENUE,Q,2018-05-07 10:09:06,2018-06-08 23:59:59,DOT IN-HOUSE MILLING
183965,THROGS NECK EXPRESSWAY,BRUCKNER BOULEVARD,LAYTON AVENUE,X,2018-03-27 07:41:35,2018-06-24 23:59:59,DOT IN-HOUSE PAVING
33944,WEST   41 STREET,7 AVENUE,8 AVENUE,M,2018-03-24 00:00:00,2018-04-02 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
33944,WEST   41 STREET,7 AVENUE,8 AVENUE,M,2018-03-24 00:00:00,2018-04-02 23:58:59,OCCUPANCY OF SIDEWALK AS STIPULATED
47107,CHRISTOPHER AVENUE,GLENMORE AVENUE,PITKIN AVENUE,B,2018-05-24 00:00:00,2018-05-31 23:59:59,DOT IN-HOUSE MILLING
