,SEGMENTID,ONSTREETNAME,WORK_START_DATE,WORK_END_DATE,BOROUGH_CODE
13038,26723,east 2 street,2018-05-04 00:00:00,2018-06-04 23:58:59,B
13039,19617,15 avenue,2018-09-14 00:00:00,2018-09-21 23:59:59,B
13040,128597,palmetto street,2018-12-28 00:00:00,2018-12-31 23:58:59,B
13041,128597,palmetto street,2018-12-28 00:00:00,2018-12-31 23:58:59,B
13042,19740,15 avenue,2018-09-14 00:00:00,2018-09-21 23:59:59,B
13043,128597,palmetto street,2018-12-28 00:00:00,2018-12-31 23:58:59,B
13044,128597,palmetto street,2018-12-28 00:00:00,2018-12-31 23:58:59,B
13045,13928,franklin avenue,2018-07-11 12:17:38,2018-08-20 23:59:59,S
13046,13937,franklin avenue,2018-07-11 12:17:35,2018-08-20 23:59:59,S
13047,13938,franklin avenue,2018-07-11 12:17:36,2018-08-20 23:59:59,S
13048,13939,franklin avenue,2018-07-11 12:17:35,2018-08-20 23:59:59,S
13049,34284,12 avenue,2018-05-02 00:00:00,2018-05-05 23:58:59,M
13050,34284,12 avenue,2018-05-02 00:00:00,2018-05-05 23:58:59,M
13051,13942,franklin avenue,2018-07-11 12:17:37,2018-08-20 23:59:59,S
13052,262246,leonard street,2018-04-01 00:00:00,2018-06-12 23:58:59,M
13053,262247,leonard street,2018-03-20 00:00:00,2018-06-12 23:58:59,M
13054,160201,richmond terrace,2018-06-25 00:00:00,2018-07-25 23:58:59,S
13055,165638,east 70 street,2018-07-09 00:00:00,2018-07-13 23:59:59,M
13056,165639,east 70 street,2018-06-25 00:00:00,2018-07-13 23:59:59,M
13057,19754,15 avenue,2018-09-14 00:00:00,2018-09-21 23:59:59,B
13058,76182,41 avenue,2018-09-05 15:20:36,2018-10-22 23:59:59,Q
13059,19812,19 avenue,2018-09-17 00:00:00,2018-09-21 23:59:59,B
13060,170305,hoover avenue,2018-04-05 10:03:28,2018-07-04 23:58:59,Q
13061,5911,abingdon avenue,2018-08-15 10:20:57,2018-09-10 23:59:59,S
13062,18413,west 20 street,2018-07-16 00:00:00,2018-07-19 23:58:59,B
13063,18413,west 20 street,2018-07-16 00:00:00,2018-07-19 23:58:59,B
13064,128597,palmetto street,2018-12-28 00:00:00,2018-12-31 23:58:59,B
13065,32020,gansevoort street,2018-05-02 00:00:00,2018-06-02 23:58:59,M
13066,32020,gansevoort street,2018-05-02 00:00:00,2018-06-02 23:58:59,M
13067,34972,north 12 street,2018-05-02 00:00:00,2018-05-05 23:58:59,B
13068,34972,north 12 street,2018-05-02 00:00:00,2018-05-05 23:58:59,B
13069,32020,gansevoort street,2018-05-02 00:00:00,2018-06-02 23:58:59,M
13070,164342,suffolk street,2018-10-28 00:00:00,2018-11-27 23:58:59,M
13071,20276,61 street,2018-09-14 00:00:00,2018-09-21 23:59:59,B
13072,20498,61 street,2018-09-14 00:00:00,2018-09-21 23:59:59,B
13073,164269,mulberry street,2018-10-28 00:00:00,2018-11-29 23:58:59,M
13074,164342,suffolk street,2018-10-28 00:00:00,2018-11-30 23:58:59,M
13075,164343,suffolk street,2018-10-28 00:00:00,2018-11-30 23:58:59,M
13076,277883,broadway,2018-05-31 00:00:00,2018-07-01 23:59:59,S
13077,6375,east figurea avenue,2018-08-15 10:17:06,2018-09-10 23:59:59,S
13078,6376,abingdon avenue,2018-08-15 10:20:59,2018-09-10 23:59:59,S
13079,6382,abingdon avenue,2018-08-15 10:21:02,2018-09-10 23:59:59,S
13080,24470,duffield street,2018-12-12 15:58:28,2019-01-01 23:58:59,B
13081,164530,west 17 street,2018-10-26 00:00:00,2018-10-30 23:58:59,M
13082,290900,lafayette avenue,2018-04-24 00:00:00,2018-05-24 23:59:59,S
13083,164530,west 17 street,2018-10-26 00:00:00,2018-10-30 23:58:59,M
